iter	Passed	Remaining
646	4101	8577
647	4108	8572
648	4118	8573
649	4128	8573
650	4135	8569
651	4141	8562
652	4147	8554
653	4152	8547
654	4158	8538
655	4163	8530
656	4168	8521
657	4173	8512
658	4179	8504
659	4184	8495
660	4189	8487
661	4195	8479
662	4201	8472
663	4206	8464
664	4212	8456
665	4217	8448
666	4223	8440
667	4230	8435
668	4236	8428
669	4242	8420
670	4247	8413
671	4253	8405
672	4259	8399
673	4265	8391
674	4271	8384
675	4277	8377
676	4283	8371
677	4290	8365
678	4295	8357
679	4302	8352
680	4309	8346
681	4316	8341
682	4322	8335
683	4328	8327
684	4334	8321
685	4340	8314
686	4348	8309
687	4354	8303
688	4359	8295
689	4365	8288
690	4371	8281
691	4376	8272
692	4382	8264
693	4387	8256
694	4393	8248
695	4398	8241
696	4404	8233
697	4409	8225
698	4415	8218
699	4420	8210
700	4426	8201
701	4431	8194
702	4437	8187
703	4443	8180
704	4449	8174
705	4456	8167
706	4463	8162
707	4469	8155
708	4475	8149
709	4481	8143
710	4488	8137
711	4494	8130
712	4499	8122
713	4506	8116
714	4513	8110
715	4519	8104
716	4524	8096
717	4531	8090
718	4537	8083
719	4543	8076
720	4548	8068
721	4554	8061
722	4560	8054
723	4566	8047
724	4571	8040
725	4577	8033
726	4584	8027
727	4591	8021
728	4597	8015
729	4602	8007
730	4609	8002
731	4615	7995
732	4621	7988
733	4627	7981
734	4633	7975
735	4639	7968
736	4646	7962
737	4652	7955
738	4658	7948
739	4664	7941
740	4670	7935
741	4676	7929
742	4683	7922
743	4689	7916
744	4694	7908
745	4701	7903
746	4707	7896
747	4713	7888
748	4719	7882
749	4725	7876
750	4731	7869
751	4737	7862
752	4743	7855
753	4749	7849
754	4755	7842
755	4761	7835
756	4767	7828
757	4773	7822
758	4780	7816
759	4786	7809
760	4792	7802
761	4797	7794
762	4802	7786
763	4808	7778
764	4812	7769
765	4818	7762
766	4823	7754
767	4829	7746
768	4834	7739
769	4840	7732
770	4845	7724
771	4851	7716
772	4856	7709
773	4862	7701
774	4867	7693
775	4873	7686
776	4878	7679
777	4884	7672
778	4890	7665
779	4897	7659
780	4903	7653
781	4909	7646
782	4916	7641
783	4923	7636
784	4930	7631
785	4937	7625
786	4943	7619
787	4949	7613
788	4956	7607
789	4961	7600
790	4968	7593
791	4973	7585
792	4979	7579
793	4986	7574
794	4992	7566
795	4998	7560
796	5004	7554
797	5009	7546
798	5015	7539
799	5021	7532
800	5028	7526
801	5035	7522
802	5042	7516
803	5048	7509
804	5054	7503
805	5060	7496
806	5066	7490
807	5072	7482
808	5077	7475
809	5083	7468
810	5089	7460
811	5094	7453
812	5099	7446
813	5105	7438
814	5110	7431
815	5117	7424
816	5123	7418
817	5129	7411
818	5135	7405
819	5141	7398
820	5147	7392
821	5154	7386
822	5160	7380
823	5167	7375
824	5173	7369
825	5181	7364
826	5189	7360
827	5196	7355
828	5203	7350
829	5211	7346
830	5218	7340
831	5225	7335
832	5233	7332
833	5240	7327
834	5249	7324
835	5257	7319
836	5265	7315
837	5271	7309
838	5279	7305
839	5285	7298
840	5291	7292
841	5298	7287
842	5305	7281
843	5313	7277
844	5319	7271
845	5327	7266
846	5333	7259
847	5339	7253
848	5346	7248
849	5353	7242
850	5360	7237
851	5366	7231
852	5373	7225
853	5379	7218
854	5387	7214
855	5394	7209
856	5400	7202
857	5407	7196
858	5413	7190
859	5418	7182
860	5424	7175
861	5429	7167
862	5436	7161
863	5442	7155
864	5447	7148
865	5453	7140
866	5459	7135
867	5465	7127
868	5470	7120
869	5476	7112
870	5482	7106
871	5490	7101
872	5496	7095
873	5502	7089
874	5509	7084
875	5516	7077
876	5522	7071
877	5528	7065
878	5536	7060
879	5544	7057
880	5552	7053
881	5560	7048
882	5567	7043
883	5574	7036
884	5580	7030
885	5586	7024
886	5592	7017
887	5598	7010
888	5603	7002
889	5609	6995
890	5615	6989
891	5620	6981
892	5626	6974
893	5633	6969
894	5640	6963
895	5647	6958
896	5653	6952
897	5660	6946
898	5666	6939
899	5672	6933
900	5678	6926
901	5684	6919
902	5690	6913
903	5698	6908
904	5705	6903
905	5713	6898
906	5719	6892
907	5725	6886
908	5731	6879
909	5737	6872
910	5743	6866
911	5749	6859
912	5755	6852
913	5761	6845
914	5767	6838
915	5773	6831
916	5779	6825
917	5785	6818
918	5791	6811
919	5796	6804
920	5802	6798
921	5809	6792
922	5815	6786
923	5821	6779
924	5827	6772
925	5833	6765
926	5839	6759
927	5845	6752
928	5851	6745
929	5858	6740
930	5864	6733
931	5870	6726
932	5876	6720
933	5882	6713
934	5887	6706
935	5893	6699
936	5899	6692
937	5904	6685
938	5910	6678
939	5916	6671
940	5922	6664
941	5927	6657
942	5933	6650
943	5938	6643
944	5944	6636
945	5950	6629
946	5955	6621
947	5960	6614
948	5966	6607
949	5971	6600
950	5977	6593
951	5983	6586
952	5988	6579
953	5994	6572
954	6000	6565
955	6005	6558
956	6011	6551
957	6016	6544
958	6022	6537
959	6029	6531
960	6035	6525
961	6041	6518
962	6047	6511
963	6052	6504
964	6058	6498
965	6065	6492
966	6071	6485
967	6077	6479
968	6083	6472
969	6089	6466
970	6095	6459
971	6100	6452
972	6106	6445
973	6113	6439
974	6118	6432
975	6124	6425
976	6129	6418
977	6134	6410
978	6139	6402
979	6145	6396
980	6150	6389
981	6156	6381
982	6161	6374
983	6166	6366
984	6171	6359
985	6177	6352
986	6182	6345
987	6187	6338
988	6193	6331
989	6198	6324
990	6204	6317
991	6210	6310
992	6216	6303
993	6221	6296
994	6228	6291
995	6234	6284
996	6239	6277
997	6247	6272
998	6252	6265
999	6258	6258
1000	6265	6253
1001	6271	6246
1002	6278	6241
1003	6285	6235
1004	6292	6230
1005	6299	6223
1006	6304	6217
1007	6311	6211
1008	6317	6205
1009	6325	6200
1010	6332	6194
1011	6339	6189
1012	6346	6183
1013	6354	6178
1014	6360	6172
1015	6367	6166
1016	6374	6161
1017	6380	6154
1018	6385	6147
1019	6392	6142
1020	6399	6136
1021	6406	6130
1022	6412	6124
1023	6418	6117
1024	6424	6111
1025	6431	6105
1026	6436	6098
1027	6442	6091
1028	6448	6084
1029	6454	6078
1030	6460	6071
1031	6466	6065
1032	6473	6060
1033	6479	6053
